time,voltage_v,current_ma,power_w,cpu,s_on,br,net_kbps,temp_c
344.03,3.72625,805.937,3.00312274625,0.4180,1,13,15.45,34.2
345.02,3.713281,850.937,3.159768194297,0.4191,1,13,14.20,34.2
345.91,3.724843,804.687,2.997332739141,0.4065,1,13,14.06,34.2
347.07,3.710312,967.187,3.588565532344,0.4070,1,13,14.67,34.2
347.98,3.723437,886.562,3.3010577535939998,0.4003,1,13,15.25,34.2
349.00,3.705,1114.062,4.127599709999999,0.4464,1,13,17.75,34.2
350.05,3.721406,815.625,3.0352717687500004,0.4153,1,13,12.95,34.2
351.06,3.720937,773.125,2.8767494181249997,0.4337,1,13,14.50,34.2
352.18,3.722968,923.125,3.436764835,0.4111,1,13,13.91,34.1
353.11,3.718437,1023.75,3.80674987875,0.4080,1,13,13.80,34.1
354.24,3.722656,790.937,2.944386368672,0.4161,1,13,14.27,34.1
355.03,3.728281,665.937,2.482800264297,0.4178,1,13,13.89,34.1
356.04,3.7225,858.437,3.1955317325,0.4190,1,13,13.11,34.1
357.10,3.727031,655.937,2.444697533047,0.3995,1,13,13.03,34.1
358.07,3.730156,749.375,2.7952856525,0.4146,1,13,13.49,34.1
359.17,3.724531,724.687,2.6991191967969996,0.4215,1,13,14.16,34.1
360.34,3.725312,687.812,2.562314297344,0.4090,1,13,14.54,34.1
361.22,3.721406,879.375,3.27251140125,0.4129,1,13,14.50,34.1
362.12,3.722343,781.875,2.910406933125,0.4215,1,13,13.59,34.1
363.38,3.718593,835.0,3.105025155,0.4217,1,13,13.15,34.2
364.14,3.727656,640.625,2.388029625,0.4255,1,13,14.64,34.2
365.22,3.73,642.812,2.3976887600000003,0.4341,1,13,14.28,34.1
366.16,3.727031,701.875,2.615909883125,0.4234,1,13,14.71,34.1
367.17,3.724218,727.812,2.7105305510160003,0.4035,1,13,16.98,34.1
368.16,3.727187,686.875,2.5601115706249997,0.4174,1,13,14.63,34.2
369.34,3.730156,623.75,2.326684805,0.4077,1,13,13.91,34.2
